num_innings_2B,UZR_2B,playerid
1080.1,-1.4,5933
251.1,2.6,21479
1255.2,6.2,11281
1032.1,1.2,19470
1246.1,6.3,12533
1211.2,-0.4,17992
739.1,-2.6,20454
539.2,-2.1,12282
799.1,-1.9,8202
257.0,1.4,13593
507.1,-0.4,18042
1263.0,-0.7,5417
505.1,1.0,14885
1159.2,0.7,15223
69.1,1.1,11338
284.1,2.0,6153
605.2,-3.0,15362
206.0,0.4,19955
248.1,1.0,18819
1227.0,5.7,10556
436.2,0.0,16252
158.2,0.3,16417
791.1,4.5,18036
288.1,2.9,19262
285.2,-0.6,12979
181.2,0.4,17321
220.0,0.3,24655
41.2,0.2,22871
188.1,0.4,20352
80.0,-0.9,20036
368.1,2.9,15112
148.0,1.7,27506
67.0,0.9,15402
114.0,0.0,16451
116.2,0.8,13853
452.1,0.6,20521
277.1,0.6,5497
184.0,0.1,19683
66.1,0.1,17326
123.0,0.0,10231
186.1,1.4,11936
1050.2,-1.2,19294
138.2,1.0,17022
71.0,0.3,16542
1358.2,2.1,16556
387.0,2.2,16434
63.1,0.0,15730
74.1,0.7,12775
37.0,-0.3,14773
181.1,-0.6,12037
41.1,0.0,14813
937.0,4.7,12532
313.1,0.0,11265
663.0,3.5,9874
59.0,0.1,13167
87.0,0.3,15937
80.2,0.5,16426
110.0,-0.1,16337
27.0,0.1,19339
11.0,-0.1,19562
196.1,-0.4,18889
112.0,0.1,18027
3.1,,16939
26.1,0.3,3298
64.2,0.8,20540
62.0,0.4,15994
73.0,0.3,19432
86.2,-0.9,16530
44.0,0.3,19931
143.2,0.9,21635
112.0,0.3,17273
63.1,-0.8,10071
14.2,-0.3,16686
23.2,0.0,10416
25.0,-0.3,19346
154.1,0.2,14103
46.0,0.1,13611
10.0,0.1,21127
9.0,0.0,13325
520.1,-3.2,14894
372.1,-2.2,15170
19.0,0.6,14556
11.0,0.1,14140
16.0,-0.1,18054
12.0,0.1,1159
47.1,0.8,17750
8.0,0.2,26197
68.2,0.0,12092
8.0,0.1,23667
23.0,0.1,22458
14.2,,16271
8.0,-0.1,21562
23.0,0.6,17684
15.0,,11615
37.0,0.1,8418
468.2,0.2,14593
3.0,,17350
15.0,0.2,5751
16.0,0.0,16357
1.1,,14942
6.0,,15941
5.2,,11241
10.2,,4892
5.0,0.0,9774
48.0,-0.2,11400
5.0,0.0,7476
16.0,,19477
971.1,-3.4,13152
4.0,,15971
2.1,,3142
1.1,,11470
1.0,0.0,16424
1.0,,16578
1.0,,17468
1.0,,19909
0.0,,3473
0.0,,19928
196.2,1.0,19950
15.0,-0.1,6609
26.0,0.5,19858
24.1,0.2,19873
16.0,0.1,13254
8.0,0.1,14515
18.1,,12158
26.0,-0.4,10953
56.1,0.0,13324
27.0,-0.3,16959
294.0,-2.5,13757
284.2,2.0,7927
403.2,-1.2,12371
12.0,,17975
11.0,-0.1,12399
687.1,-3.6,8623
6.0,-0.1,14950
134.1,0.8,6310
36.0,0.0,20003
42.0,0.5,12198
356.0,0.1,19734
27.2,-0.8,19250
17.1,0.0,14137
45.2,-0.7,19293
41.0,-0.5,13663
1.0,,13338
13.0,-0.2,12779
53.2,0.0,20056
16.0,-0.8,15608
148.1,-0.7,21987
48.0,0.0,12758
9.0,-1.1,13185
10.2,-0.8,23378
169.1,0.1,16997
134.2,-0.4,11902
214.2,-1.5,8090
44.0,0.3,15191
20.0,-0.2,16313
158.0,-0.7,6547
277.2,0.0,5913
29.0,-0.8,20536
92.0,0.4,17696
713.2,-3.5,17338
26.0,0.2,10030
40.0,-0.4,19252
96.0,-0.7,19331
136.1,-1.0,16622
15.2,,18395
129.1,-0.5,13613
34.2,-0.8,17919
153.1,-0.1,17982
68.0,-1.3,20275
72.0,-1.1,19635
150.2,-0.1,14320
254.0,1.5,13301
164.1,-0.2,16041
1093.0,-1.7,18882
136.1,-0.9,16404
59.2,-1.6,10815
254.1,-1.6,12325
660.2,-0.5,17907
270.1,-0.2,17922
182.0,-0.9,5827
38.0,-0.8,14145
321.1,0.0,18568
112.0,-3.0,19392
146.0,0.5,13836
101.0,0.6,19314
233.0,0.3,14691
212.2,-0.5,18795
458.1,-2.4,20391
366.2,-0.3,10472
584.2,-1.9,4418
524.2,-0.1,19844
156.0,-0.8,18872
138.0,-0.6,19521
1248.1,-0.2,21523